"","X1","X2","X3","X4","Y"
"1",90.3640813856308,90.5672984027909,78,-1919.29581016302,4443668.19174409
"2",112.003143679019,121.463743942785,84,-842.181041836739,12192634.4147547
"3",108.002536468068,148.489814432518,82,13041.2987098098,24638653.6341515
"4",149.289882772381,90.1827487833286,83,12695.5550163984,4875081.76690422
"5",161.96397383102,112.80085258029,77,9170.87134718895,9795227.09800401
"6",85.239917356911,96.5677065987647,86,7245.22077292204,5859978.77710245
"7",122.541685052019,128.616995599675,80,8744.22834813595,15135213.3176315
"8",102.501686765244,117.23344836441,72,12867.6627799869,11217545.4281003
"9",104.592368606053,124.218151015465,78,10983.4717139602,13543610.582281
"10",126.313952832412,116.284944135862,77,-382.914610207081,10526774.8679522
"11",96.4647435343837,100.224789886069,83,1900.62014758587,6423326.77349692
"12",78.1538481238532,114.623239107007,79,24048.8306060433,10819563.8151155
"13",104.640834351118,110.455246069774,81,2621.43997848034,8935786.33013267
"14",118.636146169472,105.124993958998,83,21358.8738813996,8209178.62575616
"15",140.243816039838,86.4090765754432,74,7248.16451966763,4062019.46346137
"16",126.175797074259,129.058319375193,74,6099.63013231754,15207209.6117837
"17",119.549674262732,98.099761317055,81,19224.4291976094,6553682.14347803
"18",107.926219625932,119.125858742692,84,18295.7806065679,12073312.7605367
"19",87.5853770642082,90.2749769416618,80,26576.2048214674,5333233.90480364
"20",77.818248074161,110.278993435781,71,12903.6565870047,9179635.23434693
"21",116.35877123272,108.987135370373,80,16019.3411260843,8983317.32979702
"22",137.351811133399,112.727290100458,83,19927.0270913839,10164024.2574059
"23",99.0210186508283,132.489884663157,77,2789.26026821136,16510935.7782681
"24",138.398416224561,66.2995549792623,71,22338.2950350642,2217297.48550613
"25",154.282719005705,109.278290650862,80,7327.24616676569,8773629.93864074
"26",94.7827542323546,112.799196596209,73,10737.8366813064,9827216.44203946
"27",107.712924199716,96.8742274041034,74,22067.5406381488,6339474.86267134
"28",87.3123303719148,117.163152359889,77,-649.486914277077,10791294.2690709
"29",91.4170190479206,114.965329502246,75,8934.56093966961,10414783.8295783
"30",125.334532098121,99.3556222055565,74,12346.6489613056,6550677.60820542
